Waveguide Carrier Frequency [MHz],Offset Frequency [Hz]zero,B_x [Gauss]zero,B_y [Gauss]zero,Pre-Quench 910 Statezero,Mass Flow Rate [CC]zero,Average Phase [rad]zero,Phase Error [rad]zero,Combiner/Harmonic,Date Stringzero,Zero/Pizero,rf Field Amplitude [V/cm]zero,Proton Deflector Statezero,Proton Deflector Voltage [V]zero,Accelerating Voltage [kV]zero,Zero Date,Pi Date,Waveguide Separation [cm],Offset Frequency [Hz]pi,B_x [Gauss]pi,B_y [Gauss]pi,Pre-Quench 910 Statepi,Mass Flow Rate [CC]pi,Average Phase [rad]pi,Phase Error [rad]pi,Date Stringpi,Zero/Pipi,rf Field Amplitude [V/cm]pi,Proton Deflector Statepi,Proton Deflector Voltage [V]pi,Accelerating Voltage [kV]pi
907.9076432,625,0,0,off,0.25,-0.07474322,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.314724551,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.0397615,625,0,0,off,0.25,-0.058805862,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.300342533,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.1082071,625,0,0,off,0.25,-0.049204906,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.296071491,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.3444354,625,0,0,off,0.25,-0.025735763,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.275999236,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.4367705,625,0,0,off,0.25,-0.017657016,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.264883667,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.4537783,625,0,0,off,0.25,-0.0176509,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.263610568,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.6240957,625,0,0,off,0.25,0.003477718,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.247989399,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.6918276,625,0,0,off,0.25,0.010008471,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.239088757,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.8494725,625,0,0,off,0.25,0.024803752,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.227975215,0.001968929,180321-142753,pi,18,ON 12,0,49.86
908.8873574,625,0,0,off,0.25,0.026255573,0.001907878,"Combiner 1, Harmonic 1",180321-144737,0,18,ON 12,0,49.86,180321-144737,180321-142753,4,625,0,0,off,0.25,0.220332894,0.001968929,180321-142753,pi,18,ON 12,0,49.86
