Dataset Index	Waveguide Separation [cm]	Beam Speed [mm/ns]	rf Field Amplitude [V/cm]	Dataset (0) Acquisition Start Date [yymmdd-hhmmss]	Dataset (180) Acquisition Start Date [yymmdd-hhmmss]	rf Frequency [MHz]	FOSOF Phase (0) [rad]	FOSOF Phase Error (0) [rad]	FOSOF Phase (180) [rad]	FOSOF Phase Error (180) [rad]
1	4	3.22	18	180321-144737	180321-142753	907.93970	-0.17376	0.00191	0.21601	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.07181	-0.15813	0.00191	0.20128	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.14026	-0.14866	0.00191	0.19683	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.37649	-0.12616	0.00191	0.17584	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.46882	-0.11798	0.00191	0.16480	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.48583	-0.11803	0.00191	0.16349	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.65615	-0.09764	0.00191	0.14712	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.72388	-0.09122	0.00191	0.13805	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.88153	-0.07688	0.00191	0.12655	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.91941	-0.07541	0.00191	0.11884	0.00197
1	4	3.22	18	180321-144737	180321-142753	908.95952	-0.06841	0.00191	0.12102	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.16544	-0.04623	0.00191	0.09715	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.17756	-0.04894	0.00191	0.09335	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.31471	-0.03139	0.00191	0.08227	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.48000	-0.01637	0.00191	0.06348	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.50495	-0.01493	0.00191	0.06279	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.62354	-0.00585	0.00191	0.05314	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.73116	0.00788	0.00191	0.03853	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.83502	0.01920	0.00191	0.03236	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.87507	0.02359	0.00191	0.02362	0.00197
1	4	3.22	18	180321-144737	180321-142753	909.99076	0.03316	0.00191	0.01442	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.16950	0.05415	0.00191	-0.00254	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.20717	0.05514	0.00191	-0.00600	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.30118	0.06346	0.00191	-0.01437	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.33494	0.06961	0.00191	-0.01443	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.57374	0.09520	0.00191	-0.04144	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.66070	0.10063	0.00191	-0.05040	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.70585	0.10242	0.00191	-0.05704	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.88142	0.12254	0.00191	-0.07258	0.00197
1	4	3.22	18	180321-144737	180321-142753	910.97997	0.13144	0.00191	-0.08164	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.13002	0.14851	0.00191	-0.09817	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.20978	0.15661	0.00191	-0.10125	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.27552	0.16350	0.00191	-0.11415	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.38199	0.17214	0.00191	-0.11974	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.45517	0.18071	0.00191	-0.12639	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.48236	0.18160	0.00191	-0.13124	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.70339	0.20467	0.00191	-0.15036	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.72747	0.20960	0.00191	-0.15420	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.85853	0.22051	0.00191	-0.17020	0.00197
1	4	3.22	18	180321-144737	180321-142753	911.86545	0.21883	0.00191	-0.16809	0.00197
1	4	3.22	18	180321-144737	180321-142753	912.08520	0.24970	0.00191	-0.18782	0.00197
2	4	3.22	18	180321-150600	180321-152522	907.93970	-0.17176	0.00200	0.21830	0.00240
2	4	3.22	18	180321-150600	180321-152522	908.07181	-0.15566	0.00200	0.19978	0.00240
2	4	3.22	18	180321-150600	180321-152522	908.14026	-0.15264	0.00200	0.19938	0.00240
2	4	3.22	18	180321-150600	180321-152522	908.37649	-0.13072	0.00200	0.17124	0.00240
2	4	3.22	18	180321-150600	180321-152522	908.46882	-0.12233	0.00200	0.16287	0.00240
2	4	3.22	18	180321-150600	180321-152522	908.48583	-0.12231	0.00200	0.16230	0.00240
2	4	3.22	18	180321-150600	180321-152522	908.65615	-0.09511	0.00200	0.14666	0.00240
